review_ID,business_ID,business_name,business_category,review_live_days,review_message,review_rating,review_status,review_warmup_prior,review_notes,review_created_date,review_removed_date,cleaned_review
a80bdb3c-5c20-4783-82ff-4c14e651834a,74213c43-84e0-4a05-b2df-597dd5acb90e,Greenacres Caravan Park,Other,1.0,"Personally liked how they have a park for dogs, but facilities could be improved. The staff are accommodating.",4.0,Removed,"visited other websites, checked the location and prior reviews, before leaving review.","showed immediately (via incognito + refresh), visible as of 04/06/24 7:18AM PHT",2024-01-17T00:00:00.000Z,2024-11-18T02:53:12.000Z,personally liked park dog facility could improved staff accommodating
5bba96d2-d492-4bb5-a3f7-15bca76ecbb6,410c17b1-810b-4d14-8664-dbb9c44d9112,Paten Road Playground,Other,1.0,It's still a good playground to visit with kids. Good for some morning walks.,4.0,Removed,"visited other websites, checked the location and prior reviews, before leaving review.","showed immediately (via incognito + refresh), visible as of 04/06/24 7:18AM PHT",2024-01-17T00:00:00.000Z,2024-11-18T02:53:14.000Z,still good playground visit kid good morning walk
05f811d9-cad9-41b8-98f3-91b2864b9e42,7fbd8b52-97dd-4e2a-99e9-b93e27aa2dba,Sunset Place Park Playground,Other,1.0,A small area/playground for kids and some picnics. It's good enough for a visit.,4.0,Removed,"visited other websites, checked the location and prior reviews, before leaving review.","showed immediately (via incognito + refresh), visible as of 04/06/24 7:18AM PHT",2024-01-17T00:00:00.000Z,2024-11-18T02:53:15.000Z,small areaplayground kid picnic good enough visit
e76af258-6a6c-4c24-b9fb-f4a89b8c7aa2,158c9ce1-f463-4d85-9679-bc532f71f7fb,Roma Street Parkland,Other,302.0,One of the best parks for me,4.0,Live,"visited other websites, checked the location and prior reviews, before leaving review.","showed immediately (via incognito + refresh), visible as of 04/06/24 7:18AM PHT",2024-01-23T00:00:00.000Z,,one best park
b91474f3-943d-4b3e-b286-bbd54281189b,477812f1-1548-44da-aedf-e930e6919c10,Mercure Brisbane Garden City,Other,301.0,"Its a good location, however, the place needs a bit of improvement. Staffs were nice.",4.0,Live,"visited other websites, checked the location and prior reviews, before leaving review.","showed immediately (via incognito + refresh), visible as of 04/06/24 7:18AM PHT",2024-01-24T00:00:00.000Z,,good location however place need bit improvement staff nice
b5624d60-53a9-415a-bf40-e15757d645a0,3ac86586-04e3-4dc4-a103-b2ec8132cffd,Lifestyle Fencing Hobart,LG,293.0,"We had a great experience with the team from Lifestyle Fencing Hobart. They offered us a variety of options and guided us to choose the best one for our property. The installation was smooth, and the result is a beautiful, high-quality fence. Their team is efficient, friendly, and highly skilled.",5.0,Live,None,"this showed immediately. double checked by refreshing. went back after a week to check status.
Visible as of 04/06/2024 2:00PM PHT",2024-02-01T00:00:00.000Z,,great experience team lifestyle fencing hobart offered u variety option guided u choose best one property installation smooth result beautiful highquality fence team efficient friendly highly skilled
c7a536b0-4594-48df-bc87-4ffaa0a6a2fb,04930c05-9728-4ae6-986d-9ee8c4d4f473,A1 Fencing Hobart,LG,293.0,Choosing A1 Fencing Hobart was the best decision for our fencing needs. They provided excellent service from the initial quote to the final installation. The team worked meticulously and ensured the fence was perfect. They're not just professionals; they're also great people to work with.,5.0,Live,None,"this showed immediately. double checked by refreshing. went back after a week to check status.
Visible as of 04/06/2024 2:00PM PHT",2024-02-01T00:00:00.000Z,,choosing fencing hobart best decision fencing need provided excellent service initial quote final installation team worked meticulously ensured fence perfect theyre professional theyre also great people work
dff893f3-48f0-4e34-ab3d-8afe908766c0,adde456a-85a9-495b-8a1a-643a5f0ab6a1,Lifestyle Fencing Melton,LG,293.0,"Had a great experience with Lifestyle Fencing Melton installing our new fence. They were super skilled and really flexible with our needs. The fence looks fantastic, and they got it done on time, even with a few hiccups along the way. Really happy with their work – top-notch job and super respectful of our space. Would totally recommend them for any fencing work!",4.0,Live,None,".
removed as of 04/06/2024 2:00PM PHT",2024-02-01T00:00:00.000Z,,great experience lifestyle fencing melton installing new fence super skilled really flexible need fence look fantastic got done time even hiccup along way really happy work topnotch job super respectful space would totally recommend fencing work
e5767f14-160d-4995-9aa3-7f1baf591cdb,0b95e9f9-a12b-40e8-a861-4efebb9f39b5,A1 Concreters Maitland,LG,293.0,"Fantastic experience with A1 Concreters Maitland. They were punctual, professional, and did an excellent job on our driveway. The finish is flawless, and they paid great attention to detail. Really impressed with their clean work and efficiency. Highly recommend them for quality concrete work!",5.0,Live,None,"this showed immediately. double checked by refreshing. went back after a week to check status.
Visible as of 04/06/2024 2:00PM PHT",2024-02-01T00:00:00.000Z,,fantastic experience concreters maitland punctual professional excellent job driveway finish flawless paid great attention detail really impressed clean work efficiency highly recommend quality concrete work
5025f577-1467-470e-85dc-9692beff5783,95d6fbe4-7bf7-4b4d-808b-22c8a2b666b6,A1 Fencing Townsville,LG,1.0,Just had our fence done by A1 Fencing Townsville and it's amazing! They really know their stuff and were super accommodating with our requests. The team worked efficiently and kept everything tidy. Highly recommend them for their professionalism and top-quality work.,5.0,Removed,None,". 
removed as of 9/05/2024 9:15AM PHT",2024-02-01T00:00:00.000Z,2024-11-18T02:53:25.000Z,fence done fencing townsville amazing really know stuff super accommodating request team worked efficiently kept everything tidy highly recommend professionalism topquality work
